Files already downloaded and verified
Files already downloaded and verified
Epoch: 11, Iteration:   380 loss: 0.689
Epoch: 11, Iteration:   400 loss: 0.729
Epoch: 11, Iteration:   420 loss: 0.661
Epoch: 11, Iteration:   440 loss: 0.643
Epoch: 11, Iteration:   460 loss: 0.622
Epoch: 11, Iteration:   480 loss: 0.700
Epoch: 11, Iteration:   500 loss: 0.687
Epoch: 11, Iteration:   520 loss: 0.677
Epoch: 11, Iteration:   540 loss: 0.644
Epoch: 11, Iteration:   560 loss: 0.628
Epoch: 11, Iteration:   580 loss: 0.730
Epoch: 11, Iteration:   600 loss: 0.619
Epoch: 11, Iteration:   620 loss: 0.645
Epoch: 11, Iteration:   640 loss: 0.665
Epoch: 11, Iteration:   660 loss: 0.705
Epoch: 11, Iteration:   680 loss: 0.712
Epoch: 11, Iteration:   700 loss: 0.660
Epoch: 11, Iteration:   720 loss: 0.689
Epoch: 11, Iteration:   740 loss: 0.638
Epoch: 11, Iteration:   760 loss: 0.599
Epoch: 11, Iteration:   780 loss: 0.628
Loss: 1.336
Accuracy of the network on the 10000 test images: 58 %
Accuracy of plane : 73 %
Accuracy of   car : 50 %
Accuracy of  bird : 55 %
Accuracy of   cat : 47 %
Accuracy of  deer : 20 %
Accuracy of   dog : 55 %
Accuracy of  frog : 53 %
Accuracy of horse : 70 %
Accuracy of  ship : 65 %
Accuracy of truck : 83 %
Epoch    11: reducing learning rate of group 0 to 1.0000e-02.
Epoch: 12, Iteration:     0 loss: 0.032
Epoch: 12, Iteration:    20 loss: 0.624
Epoch: 12, Iteration:    40 loss: 0.524
Epoch: 12, Iteration:    60 loss: 0.423
Epoch: 12, Iteration:    80 loss: 0.388
Epoch: 12, Iteration:   100 loss: 0.373
Epoch: 12, Iteration:   120 loss: 0.337
Epoch: 12, Iteration:   140 loss: 0.346
