Files already downloaded and verified
Files already downloaded and verified
Accuracy of   car : 76 %
Accuracy of  bird : 60 %
Accuracy of   cat : 41 %
Accuracy of  deer : 52 %
Accuracy of   dog : 55 %
Accuracy of  frog : 75 %
Accuracy of horse : 64 %
Accuracy of  ship : 79 %
Accuracy of truck : 69 %
Epoch: 9, Iteration:     0 loss: 0.031
Epoch: 9, Iteration:    20 loss: 0.627
Epoch: 9, Iteration:    40 loss: 0.637
Epoch: 9, Iteration:    60 loss: 0.711
Epoch: 9, Iteration:    80 loss: 0.696
Epoch: 9, Iteration:   100 loss: 0.674
Epoch: 9, Iteration:   120 loss: 0.680
Epoch: 9, Iteration:   140 loss: 0.596
Epoch: 9, Iteration:   160 loss: 0.681
Epoch: 9, Iteration:   180 loss: 0.648
Epoch: 9, Iteration:   200 loss: 0.669
Epoch: 9, Iteration:   220 loss: 0.580
Epoch: 9, Iteration:   240 loss: 0.610
Epoch: 9, Iteration:   260 loss: 0.688
Epoch: 9, Iteration:   280 loss: 0.709
Epoch: 9, Iteration:   300 loss: 0.675
Epoch: 9, Iteration:   320 loss: 0.627
Epoch: 9, Iteration:   340 loss: 0.596
Epoch: 9, Iteration:   360 loss: 0.681
Epoch: 9, Iteration:   380 loss: 0.660
Epoch: 9, Iteration:   400 loss: 0.672
Epoch: 9, Iteration:   420 loss: 0.628
Epoch: 9, Iteration:   440 loss: 0.594
Epoch: 9, Iteration:   460 loss: 0.638
Epoch: 9, Iteration:   480 loss: 0.640
Epoch: 9, Iteration:   500 loss: 0.626
Epoch: 9, Iteration:   520 loss: 0.643
Epoch: 9, Iteration:   540 loss: 0.625
Epoch: 9, Iteration:   560 loss: 0.648
Epoch: 9, Iteration:   580 loss: 0.610
Epoch: 9, Iteration:   600 loss: 0.578
Epoch: 9, Iteration:   620 loss: 0.638
Epoch: 9, Iteration:   640 loss: 0.587
Epoch: 9, Iteration:   660 loss: 0.628
Epoch: 9, Iteration:   680 loss: 0.636
Epoch: 9, Iteration:   700 loss: 0.649
Epoch: 9, Iteration:   720 loss: 0.639
Epoch: 9, Iteration:   740 loss: 0.640
Epoch: 9, Iteration:   760 loss: 0.630
Epoch: 9, Iteration:   780 loss: 0.598
Loss: 1.100
Accuracy of the network on the 10000 test images: 63 %
Accuracy of plane : 73 %
Accuracy of   car : 72 %
Accuracy of  bird : 53 %
Accuracy of   cat : 53 %
Accuracy of  deer : 43 %
Accuracy of   dog : 52 %
Accuracy of  frog : 73 %
Accuracy of horse : 65 %
Accuracy of  ship : 81 %
Accuracy of truck : 69 %
Epoch     9: reducing learning rate of group 0 to 1.0000e-03.
Epoch: 10, Iteration:     0 loss: 0.035
Epoch: 10, Iteration:    20 loss: 0.600
Epoch: 10, Iteration:    40 loss: 0.549
Epoch: 10, Iteration:    60 loss: 0.573
Epoch: 10, Iteration:    80 loss: 0.581
Epoch: 10, Iteration:   100 loss: 0.567
Epoch: 10, Iteration:   120 loss: 0.609
Epoch: 10, Iteration:   140 loss: 0.589
Epoch: 10, Iteration:   160 loss: 0.555
Epoch: 10, Iteration:   180 loss: 0.602
Epoch: 10, Iteration:   200 loss: 0.550
Epoch: 10, Iteration:   220 loss: 0.595
Epoch: 10, Iteration:   240 loss: 0.581
Epoch: 10, Iteration:   260 loss: 0.549
Epoch: 10, Iteration:   280 loss: 0.531
Epoch: 10, Iteration:   300 loss: 0.605
Epoch: 10, Iteration:   320 loss: 0.607
Epoch: 10, Iteration:   340 loss: 0.624
Epoch: 10, Iteration:   360 loss: 0.584
Epoch: 10, Iteration:   380 loss: 0.591
Epoch: 10, Iteration:   400 loss: 0.552
Epoch: 10, Iteration:   420 loss: 0.589
Epoch: 10, Iteration:   440 loss: 0.564
Epoch: 10, Iteration:   460 loss: 0.553
Epoch: 10, Iteration:   480 loss: 0.581
Epoch: 10, Iteration:   500 loss: 0.607
Epoch: 10, Iteration:   520 loss: 0.524
Epoch: 10, Iteration:   540 loss: 0.626
Epoch: 10, Iteration:   560 loss: 0.557
Epoch: 10, Iteration:   580 loss: 0.577
Epoch: 10, Iteration:   600 loss: 0.587
Epoch: 10, Iteration:   620 loss: 0.547
Epoch: 10, Iteration:   640 loss: 0.588
Epoch: 10, Iteration:   660 loss: 0.542
Epoch: 10, Iteration:   680 loss: 0.603
Epoch: 10, Iteration:   700 loss: 0.564
Epoch: 10, Iteration:   720 loss: 0.576
Epoch: 10, Iteration:   740 loss: 0.511
Epoch: 10, Iteration:   760 loss: 0.573
Epoch: 10, Iteration:   780 loss: 0.535
Loss: 1.101
Accuracy of the network on the 10000 test images: 62 %
Accuracy of plane : 75 %
Accuracy of   car : 76 %
Accuracy of  bird : 54 %
Accuracy of   cat : 49 %
Accuracy of  deer : 49 %
Accuracy of   dog : 52 %
Accuracy of  frog : 73 %
Accuracy of horse : 60 %
Accuracy of  ship : 81 %
Accuracy of truck : 65 %
Epoch: 11, Iteration:     0 loss: 0.024
Epoch: 11, Iteration:    20 loss: 0.586
Epoch: 11, Iteration:    40 loss: 0.552
Epoch: 11, Iteration:    60 loss: 0.567
Epoch: 11, Iteration:    80 loss: 0.550
Epoch: 11, Iteration:   100 loss: 0.546
Epoch: 11, Iteration:   120 loss: 0.555
Epoch: 11, Iteration:   140 loss: 0.555
Epoch: 11, Iteration:   160 loss: 0.596
Epoch: 11, Iteration:   180 loss: 0.560
Epoch: 11, Iteration:   200 loss: 0.589
Epoch: 11, Iteration:   220 loss: 0.582
Epoch: 11, Iteration:   240 loss: 0.610
Epoch: 11, Iteration:   260 loss: 0.568
Epoch: 11, Iteration:   280 loss: 0.560
Epoch: 11, Iteration:   300 loss: 0.557
Epoch: 11, Iteration:   320 loss: 0.548
Epoch: 11, Iteration:   340 loss: 0.530
Epoch: 11, Iteration:   360 loss: 0.553
Epoch: 11, Iteration:   380 loss: 0.588
Epoch: 11, Iteration:   400 loss: 0.584
Epoch: 11, Iteration:   420 loss: 0.567
Epoch: 11, Iteration:   440 loss: 0.565
Epoch: 11, Iteration:   460 loss: 0.560
Epoch: 11, Iteration:   480 loss: 0.504
Epoch: 11, Iteration:   500 loss: 0.519
Epoch: 11, Iteration:   520 loss: 0.537
Epoch: 11, Iteration:   540 loss: 0.555
Epoch: 11, Iteration:   560 loss: 0.542
Epoch: 11, Iteration:   580 loss: 0.568
Epoch: 11, Iteration:   600 loss: 0.553
Epoch: 11, Iteration:   620 loss: 0.531
Epoch: 11, Iteration:   640 loss: 0.571
Epoch: 11, Iteration:   660 loss: 0.551
Epoch: 11, Iteration:   680 loss: 0.561
